product_id,Camera,Ram,Rom,Battery
ID NO : 71,50,8,64,5000
ID NO : 72,,12,128,
ID NO : 73,108,16,256,5000
ID NO : 74,50,16,64,5000
ID NO : 75,50,16,128,5000
ID NO : 76,50,16,128,5000
ID NO : 77,50,12,128,5000
ID NO : 78,50,16,256,5000
ID NO : 79,50,16,256,5000
ID NO : 710,50,16,128,5000
ID NO : 711,,12,128,
ID NO : 712,50,12,128,5000
ID NO : 713,50,16,128,5000
ID NO : 714,,12,128,
ID NO : 715,50,16,128,5000
ID NO : 716,50,16,64,5000
ID NO : 717,50,16,128,5000
ID NO : 718,50,16,256,5000
ID NO : 719,50,12,128,5000
ID NO : 720,50,12,256,6000
ID NO : 721,50,16,64,5000
ID NO : 722,50,16,128,
ID NO : 723,50,16,256,
ID NO : 724,50,12,128,5000
ID NO : 725,50,16,64,5000
ID NO : 726,50,8,,5000
ID NO : 727,50,16,64,5000
ID NO : 728,50,8,64,5000
ID NO : 729,50,16,64,
ID NO : 730,50,12,256,5000
ID NO : 731,48,16,128,
ID NO : 732,50,16,64,5000
ID NO : 733,50,16,256,5000
ID NO : 734,50,6,64,5000
ID NO : 735,50,16,128,5000
ID NO : 736,16,16,64,
ID NO : 737,50,12,128,
ID NO : 738,50,16,128,
ID NO : 739,32,8,32,4000
ID NO : 740,50,16,128,5000
ID NO : 81,50,16,64,5000
ID NO : 82,50,8,256,5000
ID NO : 83,50,12,32,5000
ID NO : 84,50,8,256,5000
ID NO : 85,50,12,,5000
ID NO : 86,50,16,128,5000
ID NO : 87,50,16,256,
ID NO : 88,50,12,128,5000
ID NO : 89,50,12,256,4600
ID NO : 810,50,16,128,
ID NO : 811,16,16,128,6000
ID NO : 812,50,16,64,
ID NO : 813,50,16,256,
ID NO : 815,50,16,256,5000
ID NO : 816,50,16,128,5000
ID NO : 817,32,12,128,
ID NO : 818,50,16,256,5000
ID NO : 819,50,6,32,5000
ID NO : 820,50,16,256,
ID NO : 821,50,16,64,6000
ID NO : 822,50,8,,5000
ID NO : 823,50,12,128,5000
ID NO : 824,50,16,128,
ID NO : 825,50,16,128,5000
ID NO : 826,,12,,
ID NO : 827,50,16,64,5000
ID NO : 828,50,16,256,5000
ID NO : 829,50,12,128,5000
ID NO : 830,50,16,64,5000
ID NO : 831,50,16,128,5000
ID NO : 832,32,16,256,
ID NO : 833,50,16,64,5000
ID NO : 834,50,16,256,5000
ID NO : 835,50,16,64,5000
ID NO : 836,50,16,64,5000
ID NO : 837,50,16,256,5000
ID NO : 838,50,16,256,5000
ID NO : 839,50,12,128,5000
ID NO : 840,50,12,64,5050
ID NO : 91,50,12,256,5000
ID NO : 92,50,16,256,5000
ID NO : 93,50,12,256,5000
ID NO : 94,50,12,32,5000
ID NO : 95,50,12,32,5000
ID NO : 96,50,12,256,5000
ID NO : 97,50,16,64,5000
ID NO : 98,50,16,128,
ID NO : 99,50,12,128,5000
ID NO : 910,50,16,256,5000
ID NO : 911,50,8,256,5000
ID NO : 912,50,16,256,5000
ID NO : 913,50,16,256,5000
ID NO : 914,50,16,128,5000
ID NO : 915,50,16,256,5000
ID NO : 916,50,12,256,5000
ID NO : 940,50,12,128,5000
ID NO : 101,108,16,256,5000
ID NO : 102,50,16,256,5000
ID NO : 103,108,16,256,5000
ID NO : 104,108,12,256,5000
ID NO : 105,108,12,256,5000
ID NO : 106,50,6,64,5000
ID NO : 107,108,12,256,5000
ID NO : 108,50,12,256,4600
ID NO : 1010,48,16,128,
ID NO : 1011,50,16,256,5000
ID NO : 1012,50,16,256,5000
ID NO : 1014,16,16,64,
ID NO : 1015,50,12,128,5000
ID NO : 1016,50,6,64,5000
ID NO : 1017,108,16,256,5000
ID NO : 1018,50,16,128,5000
ID NO : 1019,50,16,256,5000
ID NO : 1020,108,16,256,5000
ID NO : 1021,50,16,128,5000
ID NO : 1022,50,16,256,5000
ID NO : 1023,16,16,128,
ID NO : 1024,50,16,64,6000
ID NO : 1025,50,16,128,5000
ID NO : 1026,50,12,128,5000
ID NO : 1027,50,16,256,5000
ID NO : 1028,50,16,256,5000
ID NO : 1029,50,16,128,5000
ID NO : 1030,50,12,128,5000
ID NO : 1031,50,16,128,5000
ID NO : 1032,50,16,128,5000
ID NO : 1033,50,12,128,5000
ID NO : 1034,50,12,128,5000
ID NO : 1035,50,16,128,5000
ID NO : 1036,50,16,64,5000
ID NO : 1039,13,8,64,
ID NO : 1040,50,16,256,4600
ID NO : 111,50,16,128,5000
ID NO : 112,50,16,256,5000
ID NO : 113,50,16,64,5000
ID NO : 114,50,16,128,5000
ID NO : 115,50,12,256,5000
ID NO : 116,50,16,64,5000
ID NO : 117,50,12,64,5000
ID NO : 118,50,16,256,5000
ID NO : 119,32,12,256,4600
ID NO : 1110,108,16,256,5000
ID NO : 1111,108,16,256,5000
ID NO : 1112,50,16,128,5000
ID NO : 1113,50,16,128,5000
ID NO : 1114,50,16,128,5000
ID NO : 1115,50,16,64,5000
ID NO : 1116,50,16,128,5000
ID NO : 1117,50,16,256,5000
ID NO : 1118,50,12,128,5000
ID NO : 1119,50,8,64,5000
ID NO : 1120,50,16,256,6000
ID NO : 1121,48,12,512,
ID NO : 1122,50,16,256,5000
ID NO : 1123,50,16,64,5000
ID NO : 1124,50,16,64,5000
ID NO : 1125,50,8,256,
ID NO : 1126,50,16,64,5000
ID NO : 1127,50,16,64,5000
ID NO : 1128,50,12,256,5000
ID NO : 1129,50,16,64,5000
ID NO : 1130,50,16,256,5000
ID NO : 1131,108,16,256,5000
ID NO : 1132,50,12,256,5000
ID NO : 1134,48,12,512,
ID NO : 1135,50,16,256,
ID NO : 1136,32,16,256,4600
ID NO : 1137,50,16,256,5000
ID NO : 1139,48,16,128,
ID NO : 1140,13,12,128,6000
